Track,ID,DateTime,Side,Entry,SL,TP1,TP2,RiskPips,ExitReason,ExitPrice,ExitTime,NormalizedNetR,PnlUsd,Confluence
SCALP,7,"2026-07-20T23:20:00.000Z",BUY,4010.40,4007.10,4015.25,4015.25,33,SL_HIT,4007.10,"2026-07-20T23:20:00.000Z",-0.51,-5.07,"3/4 (Range Boundary Sweep + 1M Rejection + Mid TP)"
SUPREME,8,"2026-07-21T15:30:00.000Z",SELL,4080.80,4083.70,4076.45,4070.65,29,SL_HIT,4083.70,"2026-07-21T15:35:00.000Z",-1.01,-10.07,"4/4 (1H Displacement + 5M FVG + DXY + News Clear)"
SCALP,8,"2026-07-24T00:25:00.000Z",BUY,4049.10,4045.80,4050.30,4050.30,33,TP_EQUILIBRIUM,4050.30,"2026-07-24T00:35:00.000Z",0.59,5.93,"3/4 (Range Boundary Sweep + 1M Rejection + Mid TP)"
SCALP,9,"2026-07-24T00:50:00.000Z",SELL,4051.50,4055.00,4048.50,4048.50,35,TP_EQUILIBRIUM,4048.50,"2026-07-24T01:00:00.000Z",0.59,5.93,"3/4 (Range Boundary Sweep + 1M Rejection + Mid TP)"
SUPREME,9,"2026-07-24T13:15:00.000Z",BUY,4050.70,4046.40,4057.15,4065.75,43,TP1_PARTIAL_BE,4057.15,"2026-07-24T13:35:00.000Z",0.74,7.43,"4/4 (1H Displacement + 5M FVG + DXY + News Clear)"
SUPREME,10,"2026-07-24T19:30:00.000Z",BUY,4054.00,4050.30,4059.55,4066.95,37,TP1_PARTIAL_BE,4059.55,"2026-07-24T19:40:00.000Z",0.74,7.43,"4/4 (1H Displacement + 5M FVG + DXY + News Clear)"
SUPREME,11,"2026-07-27T23:55:00.000Z",BUY,4073.10,4070.40,4077.15,4082.55,27,SL_HIT,4070.40,"2026-07-28T00:00:00.000Z",-1.01,-10.07,"4/4 (1H Displacement + 5M FVG + DXY + News Clear)"
SCALP,10,"2026-07-28T05:30:00.000Z",BUY,4043.00,4039.50,4046.10,4046.10,35,SL_HIT,4039.50,"2026-07-28T05:35:00.000Z",-0.51,-5.07,"3/4 (Range Boundary Sweep + 1M Rejection + Mid TP)"
SUPREME,12,"2026-07-29T11:55:00.000Z",SELL,4091.50,4095.80,4085.05,4076.45,43,TP2_FULL_TARGET,4076.45,"2026-07-29T12:20:00.000Z",2.49,24.93,"4/4 (1H Displacement + 5M FVG + DXY + News Clear)"
SUPREME,13,"2026-08-03T00:45:00.000Z",SELL,4113.70,4117.40,4108.15,4100.75,37,TP1_PARTIAL_BE,4108.15,"2026-08-03T01:00:00.000Z",0.74,7.43,"4/4 (1H Displacement + 5M FVG + DXY + News Clear)"
SCALP,11,"2026-08-04T00:40:00.000Z",SELL,4113.90,4116.20,4109.80,4109.80,23,TP_EQUILIBRIUM,4109.80,"2026-08-04T00:50:00.000Z",0.59,5.93,"3/4 (Range Boundary Sweep + 1M Rejection + Mid TP)"
SUPREME,14,"2026-08-06T12:45:00.000Z",SELL,4326.10,4330.30,4319.80,4311.40,42,TP2_FULL_TARGET,4311.40,"2026-08-06T12:50:00.000Z",2.49,24.93,"4/4 (1H Displacement + 5M FVG + DXY + News Clear)"
